ID_Cliente,Evasion,Genero,AdultoMayor,TienePareja,Dependientes,MesesAntiguedad,ServicioTelefonico,LineasMultiples,ServicioInternet,SeguridadEnLinea,RespaldoEnLinea,ProteccionDispositivo,SoporteTecnico,StreamingTV,StreamingPeliculas,TipoContrato,FacturaElectronica,MetodoPago,CuentasDiarias,CargoMensual,CargoTotal
1629-DQQVB,No,Femenino,No,No,No,14,Sí,No,DSL,Sí,No,No,No,No,No,Mensual,No,Transferencia bancaria (automática),1.67,50.1,709.5
1635-FJFCC,No,Femenino,No,No,No,5,Sí,No,DSL,No,No,No,No,No,No,Mensual,Sí,Tarjeta de crédito (automático),1.47,44.05,202.15
1635-HDGFT,No,Femenino,No,No,Sí,19,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Cheque por correo,0.68,20.5,398.55
1635-NZATJ,No,Masculino,Sí,Sí,No,71,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Tarjeta de crédito (automático),0.85,25.45,1789.65
1636-NTNCO,No,Masculino,Sí,No,No,4,No,Sin servicio telefónico,DSL,No,Sí,No,No,Sí,Sí,Mensual,Sí,Tarjeta de crédito (automático),1.7,50.95,207.35
1640-PLFMP,No,Femenino,No,No,No,1,Sí,No,Fibra óptica,No,No,No,No,No,No,Mensual,Sí,Cheque electrónico,2.34,70.25,70.25
1641-BYBTK,No,Masculino,No,No,Sí,6,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,Sí,Cheque por correo,0.67,20.2,98.35
1641-RQDAY,No,Femenino,Sí,Sí,Sí,32,Sí,Sí,Fibra óptica,No,Sí,No,No,Sí,Sí,Mensual,Sí,Cheque electrónico,3.35,100.4,3217.65
1642-HMARX,No,Femenino,No,Sí,No,68,Sí,Sí,DSL,Sí,Sí,Sí,Sí,Sí,Sí,Dos años,Sí,Cheque electrónico,3.06,91.7,6424.7
1644-IRKSF,Sí,Femenino,No,Sí,Sí,33,Sí,No,Fibra óptica,No,No,Sí,No,Sí,Sí,Un año,Sí,Cheque electrónico,3.13,93.8,3124.5
1656-DRSMG,No,Femenino,No,No,No,63,Sí,Sí,Fibra óptica,No,Sí,Sí,Sí,Sí,Sí,Mensual,Sí,Tarjeta de crédito (automático),3.66,109.85,7002.95
1657-DYMBM,No,Masculino,No,Sí,No,53,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Tarjeta de crédito (automático),0.66,19.9,1110.05
1658-BYGOY,Sí,Masculino,Sí,No,No,18,Sí,Sí,Fibra óptica,No,No,No,No,Sí,Sí,Mensual,Sí,Cheque electrónico,3.18,95.45,1752.55
1658-TJVOA,No,Femenino,Sí,No,No,6,Sí,No,Fibra óptica,Sí,No,No,No,No,No,Mensual,Sí,Cheque electrónico,2.47,74.1,450.9
1658-XUHBX,No,Femenino,Sí,Sí,Sí,59,Sí,Sí,Fibra óptica,No,No,Sí,No,No,Sí,Mensual,Sí,Tarjeta de crédito (automático),2.96,88.75,5348.65
1660-HSOOQ,Sí,Masculino,No,No,No,1,Sí,No,DSL,No,No,Sí,No,No,No,Mensual,Sí,Cheque por correo,1.66,49.65,49.65
1661-CZBAU,No,Masculino,No,No,No,48,Sí,Sí,DSL,Sí,No,No,Sí,No,Sí,Un año,Sí,Transferencia bancaria (automática),2.37,70.95,3629.2
1663-MHLHE,No,Masculino,No,No,No,1,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Cheque por correo,0.64,19.2,19.2
1666-JXLKU,No,Femenino,No,No,No,37,Sí,Sí,Fibra óptica,No,No,Sí,No,Sí,Sí,Mensual,Sí,Cheque electrónico,3.34,100.05,3810.55
1666-JZPZT,No,Masculino,No,No,No,27,Sí,Sí,DSL,No,No,No,No,No,No,Mensual,No,Cheque por correo,1.63,49.0,1291.35
1670-SVOWZ,Sí,Femenino,No,Sí,Sí,14,Sí,No,Fibra óptica,No,Sí,No,Sí,No,Sí,Mensual,Sí,Tarjeta de crédito (automático),2.99,89.65,1208.35
1676-MQAOA,No,Masculino,No,No,No,72,Sí,No,DSL,Sí,Sí,Sí,Sí,Sí,No,Dos años,Sí,Transferencia bancaria (automática),2.5,75.1,5336.35
1678-FYZOW,Sí,Femenino,No,No,No,3,Sí,No,Fibra óptica,No,No,No,No,Sí,No,Mensual,Sí,Cheque electrónico,2.65,79.4,244.65
1679-JRFBR,No,Femenino,No,Sí,Sí,70,Sí,Sí,Fibra óptica,Sí,Sí,Sí,No,Sí,Sí,Un año,Sí,Tarjeta de crédito (automático),3.6,108.15,7930.55
1680-VDCWW,No,Masculino,No,Sí,No,12,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,No,Transferencia bancaria (automática),0.66,19.8,202.25
1682-VCOIO,No,Masculino,No,No,No,23,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,No,Cheque por correo,0.68,20.45,481.1
1684-FLBGS,No,Femenino,No,Sí,Sí,23,Sí,Sí,DSL,No,Sí,No,Sí,Sí,No,Mensual,Sí,Tarjeta de crédito (automático),2.32,69.5,1652.1
1685-BQULA,No,Femenino,No,No,No,40,Sí,Sí,Fibra óptica,No,Sí,Sí,No,Sí,No,Mensual,Sí,Transferencia bancaria (automática),3.11,93.4,3756.4
1685-VAYJF,No,Masculino,No,No,No,11,Sí,No,DSL,No,No,No,No,No,No,Mensual,No,Tarjeta de crédito (automático),1.51,45.2,492.0
1686-STUHN,No,Masculino,No,No,No,42,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,No,Transferencia bancaria (automática),0.66,19.8,849.9
1689-MRZQR,Sí,Masculino,No,Sí,Sí,34,Sí,No,Fibra óptica,No,No,No,No,Sí,No,Mensual,No,Cheque electrónico,2.61,78.3,2564.3
1689-YQBYY,No,Femenino,No,No,Sí,12,Sí,Sí,Fibra óptica,No,No,No,No,No,No,Mensual,Sí,Cheque electrónico,2.55,76.6,893.0
1696-HXOWK,No,Femenino,No,Sí,No,71,Sí,Sí,Fibra óptica,Sí,Sí,No,No,Sí,No,Un año,No,Cheque por correo,3.19,95.65,6856.95
1696-MZVAU,No,Masculino,No,Sí,Sí,39,No,Sin servicio telefónico,DSL,No,No,No,No,No,No,Un año,Sí,Tarjeta de crédito (automático),0.84,25.25,947.75
1697-BCSHV,No,Femenino,No,Sí,Sí,58,Sí,Sí,DSL,No,Sí,No,No,Sí,No,Mensual,Sí,Transferencia bancaria (automática),2.23,66.8,3970.4
1697-LYYYX,No,Femenino,No,Sí,Sí,61,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,No,Tarjeta de crédito (automático),0.64,19.1,1143.8
1697-NVVGY,No,Masculino,Sí,Sí,No,19,Sí,No,DSL,Sí,No,Sí,No,Sí,No,Mensual,No,Transferencia bancaria (automática),2.21,66.4,1286.05
1698-XFZCI,No,Masculino,No,No,No,61,Sí,Sí,Fibra óptica,Sí,Sí,Sí,No,Sí,Sí,Un año,Sí,Cheque electrónico,3.59,107.75,6521.9
1699-HPSBG,Sí,Masculino,No,No,No,12,Sí,No,DSL,No,No,No,Sí,Sí,No,Un año,Sí,Cheque electrónico,1.99,59.8,727.8
1699-TLDLZ,No,Femenino,No,Sí,Sí,16,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Cheque por correo,0.66,19.7,301.55
1699-UOTXU,No,Masculino,No,No,No,60,Sí,No,DSL,Sí,Sí,Sí,No,No,No,Dos años,No,Cheque electrónico,2.05,61.4,3638.25
1702-CCFNJ,No,Masculino,No,Sí,No,52,Sí,Sí,DSL,No,Sí,No,Sí,No,No,Mensual,No,Transferencia bancaria (automática),2.04,61.35,3169.55
1703-MGIAB,No,Femenino,No,No,No,17,Sí,Sí,DSL,No,No,Sí,Sí,Sí,No,Mensual,Sí,Cheque por correo,2.3,69.0,1108.0
1704-NRWYE,Sí,Femenino,Sí,No,No,9,Sí,No,Fibra óptica,No,No,No,No,Sí,No,Mensual,Sí,Cheque electrónico,2.7,80.85,751.65
1705-GUHPV,No,Femenino,No,No,No,63,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Cheque por correo,0.81,24.2,1618.2
1707-HABPF,No,Femenino,Sí,No,No,46,Sí,No,Fibra óptica,No,Sí,Sí,No,Sí,No,Un año,Sí,Transferencia bancaria (automática),3.04,91.3,4126.35
1708-PBBOA,No,Femenino,No,No,No,42,No,Sin servicio telefónico,DSL,Sí,Sí,Sí,Sí,No,Sí,Un año,Sí,Cheque electrónico,1.82,54.75,2348.45
1709-EJDOX,No,Femenino,No,Sí,Sí,47,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Cheque por correo,0.66,19.75,948.9
1710-RCXUS,No,Masculino,No,Sí,No,51,Sí,Sí,Fibra óptica,No,Sí,No,No,No,Sí,Un año,Sí,Tarjeta de crédito (automático),3.01,90.35,4614.55
1716-LSAMB,No,Masculino,No,Sí,Sí,45,Sí,No,DSL,Sí,No,No,Sí,No,No,Dos años,No,Transferencia bancaria (automática),1.82,54.65,2553.7
1722-LDZJS,No,Masculino,No,Sí,Sí,53,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,No,Tarjeta de crédito (automático),0.67,20.2,1068.15
1723-HKXJQ,Sí,Masculino,No,No,No,42,Sí,Sí,Fibra óptica,No,Sí,No,No,Sí,Sí,Mensual,Sí,Cheque electrónico,3.39,101.75,4273.45
1724-BQUHA,Sí,Masculino,Sí,No,No,5,Sí,No,Fibra óptica,No,No,No,No,Sí,Sí,Mensual,Sí,Cheque electrónico,2.98,89.5,477.7
1724-IQWNM,No,Masculino,No,No,Sí,1,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,Sí,Cheque por correo,0.64,19.3,19.3
1725-IQNIY,Sí,Masculino,No,Sí,No,54,Sí,No,Fibra óptica,Sí,Sí,Sí,Sí,Sí,Sí,Dos años,No,Transferencia bancaria (automática),3.66,109.75,6110.2
1725-MIMXW,Sí,Masculino,No,No,Sí,1,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,Sí,Cheque por correo,0.65,19.45,19.45
1728-BQDMA,No,Femenino,No,No,No,2,Sí,No,DSL,No,No,No,No,No,No,Mensual,No,Cheque electrónico,1.48,44.45,82.7
1728-CXQBE,No,Masculino,Sí,Sí,No,64,Sí,Sí,Fibra óptica,No,Sí,Sí,No,No,Sí,Mensual,Sí,Cheque electrónico,3.14,94.25,6081.4
1729-VLAZJ,No,Femenino,No,No,Sí,10,No,Sin servicio telefónico,DSL,Sí,Sí,No,Sí,No,No,Un año,No,Cheque por correo,1.34,40.25,411.45
1730-VFMWO,No,Femenino,No,Sí,No,34,Sí,No,DSL,No,No,No,Sí,No,No,Mensual,No,Transferencia bancaria (automática),1.67,50.2,1815.3
1730-ZMAME,No,Femenino,Sí,No,No,32,Sí,No,Fibra óptica,No,No,No,No,No,Sí,Mensual,Sí,Cheque electrónico,2.65,79.5,2665.0
1731-TVIUK,Sí,Femenino,No,No,No,4,Sí,Sí,Fibra óptica,No,Sí,No,Sí,No,Sí,Mensual,Sí,Cheque electrónico,3.12,93.5,362.2
1732-FEKLD,No,Femenino,No,No,No,54,Sí,Sí,Fibra óptica,No,Sí,Sí,No,Sí,No,Un año,Sí,Transferencia bancaria (automática),3.16,94.75,5121.75
1732-VHUBQ,Sí,Femenino,Sí,Sí,Sí,47,Sí,No,Fibra óptica,No,No,No,No,No,No,Mensual,No,Transferencia bancaria (automática),2.35,70.55,3309.25
1734-ZMNTZ,No,Femenino,No,Sí,Sí,11,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Cheque por correo,0.83,25.0,300.7
1735-XMJVH,No,Masculino,No,Sí,Sí,8,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,Sí,Cheque por correo,0.64,19.35,152.6
1740-CSDJP,Sí,Masculino,No,No,No,1,No,Sin servicio telefónico,DSL,No,No,No,No,No,Sí,Mensual,Sí,Transferencia bancaria (automática),1.18,35.25,35.25
1741-WTPON,No,Masculino,No,Sí,Sí,56,Sí,Sí,Fibra óptica,Sí,Sí,Sí,Sí,Sí,Sí,Dos años,No,Cheque por correo,3.86,115.85,6567.9
1744-JHKYS,No,Femenino,No,Sí,No,34,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Cheque electrónico,0.82,24.7,780.2
1746-TGTWV,No,Masculino,No,Sí,No,1,Sí,No,Fibra óptica,No,No,Sí,No,No,No,Mensual,No,Tarjeta de crédito (automático),2.51,75.35,75.35
1750-CSKKM,Sí,Masculino,No,No,Sí,9,Sí,No,DSL,No,No,No,No,Sí,No,Mensual,No,Cheque electrónico,1.84,55.35,449.75
1751-NCDLI,No,Masculino,Sí,Sí,No,46,Sí,Sí,Fibra óptica,No,No,Sí,No,Sí,Sí,Mensual,Sí,Cheque electrónico,3.3,98.85,4564.9
1752-OZXFY,No,Masculino,No,Sí,No,60,Sí,No,DSL,Sí,No,No,No,Sí,No,Un año,Sí,Cheque por correo,1.99,59.8,3561.15
1754-GKYPY,No,Masculino,Sí,Sí,No,22,Sí,No,Fibra óptica,No,No,No,No,Sí,Sí,Mensual,Sí,Transferencia bancaria (automática),2.99,89.75,1938.9
1755-FZQEC,No,Masculino,No,No,No,39,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,No,Cheque por correo,0.66,19.9,791.15
1755-RMCXH,No,Masculino,No,Sí,Sí,2,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Cheque por correo,0.68,20.3,40.25
1757-TCATG,No,Masculino,No,Sí,Sí,35,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,No,Transferencia bancaria (automática),0.67,20.05,746.75
1760-CAZHT,No,Masculino,No,No,Sí,25,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Cheque por correo,0.69,20.8,460.2
1761-AEZZR,Sí,Masculino,No,No,No,1,Sí,No,Fibra óptica,No,No,No,No,Sí,No,Mensual,Sí,Cheque electrónico,2.65,79.55,79.55
1763-KUAAW,No,Femenino,Sí,No,No,18,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,No,Transferencia bancaria (automática),0.68,20.35,369.6
1763-WQFUK,No,Masculino,No,No,No,3,Sí,No,DSL,No,No,No,Sí,No,No,Mensual,Sí,Cheque por correo,1.68,50.5,147.75
1764-VUUMT,No,Masculino,No,No,Sí,66,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Tarjeta de crédito (automático),0.66,19.95,1269.1
1766-GKNMI,No,Masculino,No,No,No,29,Sí,Sí,Fibra óptica,No,No,No,No,No,Sí,Mensual,Sí,Cheque electrónico,2.83,84.9,2516.2
1767-CJKBA,No,Masculino,No,No,No,66,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Cheque por correo,0.84,25.1,1697.7
1767-TGTKO,No,Femenino,No,Sí,Sí,8,Sí,No,DSL,No,No,No,No,No,No,Mensual,Sí,Cheque electrónico,1.52,45.45,411.75
1768-HNVGJ,No,Femenino,Sí,No,No,45,Sí,Sí,DSL,Sí,No,No,Sí,No,Sí,Mensual,Sí,Cheque electrónico,2.34,70.05,3062.45
1768-ZAIFU,Sí,Femenino,Sí,No,No,1,No,Sin servicio telefónico,DSL,No,No,No,No,No,No,Mensual,Sí,Cheque electrónico,0.84,25.2,25.2
1769-GRUIK,No,Femenino,No,No,No,18,Sí,No,Fibra óptica,No,No,No,No,No,No,Mensual,Sí,Cheque electrónico,2.37,71.1,1247.75
1771-OADNZ,Sí,Masculino,Sí,Sí,No,29,Sí,Sí,Fibra óptica,No,Sí,Sí,No,No,Sí,Mensual,Sí,Cheque electrónico,3.2,95.9,2745.2
1775-KWJKQ,No,Masculino,No,Sí,Sí,72,Sí,Sí,DSL,Sí,Sí,Sí,Sí,Sí,Sí,Dos años,No,Tarjeta de crédito (automático),2.99,89.85,6562.9
1776-SPBWV,No,Femenino,No,Sí,Sí,34,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,Sí,Transferencia bancaria (automática),0.67,20.1,682.1
1777-JYQPJ,No,Masculino,No,No,No,2,No,Sin servicio telefónico,DSL,No,No,No,No,No,No,Mensual,No,Cheque por correo,0.81,24.3,38.45
1779-PWPMG,No,Femenino,Sí,Sí,No,72,Sí,Sí,Fibra óptica,Sí,Sí,Sí,Sí,Sí,Sí,Dos años,Sí,Transferencia bancaria (automática),3.82,114.65,8333.95
1784-BXEFA,No,Femenino,No,No,No,10,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,Sí,Cheque por correo,0.68,20.55,187.35
1784-EZDKJ,No,Masculino,No,Sí,No,51,Sí,Sí,Fibra óptica,No,Sí,Sí,No,Sí,Sí,Un año,Sí,Transferencia bancaria (automática),3.56,106.8,5498.8
1785-BPHTP,No,Masculino,No,Sí,Sí,28,Sí,No,Fibra óptica,No,No,Sí,No,Sí,No,Mensual,No,Cheque electrónico,2.85,85.45,2289.9
1790-NESIO,No,Femenino,No,No,No,13,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,Sí,Cheque por correo,0.68,20.4,261.3
1791-PQHBB,No,Femenino,No,No,Sí,2,Sí,No,DSL,Sí,No,No,No,No,Sí,Mensual,Sí,Tarjeta de crédito (automático),2.04,61.2,125.95
1792-UXAFY,Sí,Femenino,Sí,No,No,17,Sí,No,Fibra óptica,No,Sí,Sí,No,Sí,No,Mensual,Sí,Cheque electrónico,2.97,89.15,1496.9
1794-HBQTJ,Sí,Femenino,No,No,No,1,Sí,No,DSL,Sí,No,No,No,No,No,Mensual,Sí,Tarjeta de crédito (automático),1.62,48.6,48.6
1794-SWWKL,No,Masculino,No,Sí,Sí,15,Sí,Sí,DSL,No,No,Sí,Sí,No,No,Mensual,Sí,Transferencia bancaria (automática),1.99,59.65,867.1
1796-JANOW,No,Femenino,No,No,No,2,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Cheque por correo,0.66,19.95,38.15
1803-BGNBD,No,Femenino,No,No,No,12,Sí,No,DSL,No,Sí,No,Sí,No,No,Mensual,Sí,Cheque electrónico,1.81,54.3,654.5
1809-DMJHQ,Sí,Femenino,No,No,Sí,5,Sí,No,DSL,No,No,No,No,No,No,Mensual,No,Cheque por correo,1.53,46.0,221.7
1810-BOHSY,No,Masculino,No,Sí,No,51,Sí,Sí,Fibra óptica,Sí,Sí,No,No,No,Sí,Un año,Sí,Tarjeta de crédito (automático),3.21,96.4,4911.05
1810-MVMAI,No,Masculino,No,Sí,Sí,30,Sí,Sí,DSL,Sí,Sí,Sí,Sí,No,No,Mensual,No,Cheque electrónico,2.25,67.6,2000.2
1813-JLKWR,No,Femenino,No,Sí,Sí,64,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,No,Transferencia bancaria (automática),0.66,19.8,1336.65
1813-JYWTO,No,Femenino,No,Sí,No,72,Sí,Sí,Fibra óptica,Sí,No,No,No,No,No,Dos años,No,Transferencia bancaria (automática),2.68,80.45,5737.6
1814-DKOLC,No,Femenino,No,No,No,5,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Cheque por correo,0.85,25.45,134.75
1814-WFGVS,No,Masculino,No,Sí,Sí,72,No,Sin servicio telefónico,DSL,Sí,No,Sí,Sí,Sí,No,Dos años,No,Cheque por correo,1.63,48.9,3527.0
1816-FLZDK,No,Masculino,No,No,No,1,No,Sin servicio telefónico,DSL,No,No,No,Sí,No,No,Mensual,No,Cheque por correo,0.97,29.15,29.15
1818-ESQMW,No,Femenino,No,No,No,27,Sí,No,Fibra óptica,No,No,Sí,Sí,No,Sí,Mensual,Sí,Cheque electrónico,2.97,89.2,2383.6
1820-DJFPH,No,Femenino,No,Sí,Sí,72,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,Sí,Transferencia bancaria (automática),0.8,24.05,1709.15
1820-TQVEV,Sí,Masculino,No,No,No,1,Sí,No,Fibra óptica,No,No,No,No,No,No,Mensual,Sí,Cheque electrónico,2.32,69.55,69.55
1821-BUCWY,No,Masculino,No,No,No,30,Sí,No,DSL,Sí,No,Sí,No,No,No,Dos años,Sí,Cheque por correo,1.86,55.65,1653.85
1830-GGFNM,No,Masculino,No,Sí,Sí,65,Sí,Sí,Fibra óptica,Sí,Sí,Sí,Sí,No,No,Dos años,No,Tarjeta de crédito (automático),3.15,94.55,6078.75
1830-IPXVJ,No,Femenino,No,Sí,Sí,61,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Tarjeta de crédito (automático),0.66,19.75,1311.6
1832-PEUTS,No,Masculino,No,Sí,Sí,62,Sí,Sí,Fibra óptica,No,No,Sí,No,Sí,No,Dos años,Sí,Tarjeta de crédito (automático),2.97,89.1,5411.65
1833-TCXKK,No,Masculino,No,Sí,No,45,Sí,Sí,Fibra óptica,No,Sí,Sí,No,Sí,Sí,Mensual,Sí,Transferencia bancaria (automática),3.59,107.75,4882.8
1833-VGRUM,Sí,Femenino,Sí,No,No,1,Sí,Sí,Fibra óptica,No,No,No,No,No,No,Mensual,Sí,Cheque electrónico,2.47,74.2,74.2
1834-ABKHQ,No,Femenino,No,Sí,Sí,52,Sí,No,DSL,No,No,Sí,No,No,No,Un año,Sí,Transferencia bancaria (automática),1.7,50.95,2610.65
1834-WULEG,No,Masculino,No,Sí,Sí,24,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,No,Cheque por correo,0.68,20.25,439.75
1837-YQUCE,No,Femenino,No,No,No,70,No,Sin servicio telefónico,DSL,Sí,No,Sí,Sí,Sí,Sí,Dos años,Sí,Transferencia bancaria (automática),1.94,58.35,4214.25
1839-FBNFR,No,Femenino,No,Sí,Sí,39,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,Sí,Transferencia bancaria (automática),0.66,19.85,854.8
1839-UMACK,No,Masculino,No,No,No,42,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,No,Cheque electrónico,0.84,25.05,949.85
1840-BIUOG,No,Masculino,No,No,No,20,Sí,Sí,DSL,No,Sí,No,Sí,Sí,No,Un año,Sí,Cheque electrónico,2.29,68.7,1416.2
1841-YSJGV,No,Masculino,No,Sí,No,72,Sí,Sí,Fibra óptica,Sí,Sí,No,Sí,Sí,Sí,Dos años,Sí,Tarjeta de crédito (automático),3.66,109.95,7852.4
1842-EZJMK,Sí,Masculino,No,Sí,Sí,50,Sí,Sí,Fibra óptica,No,Sí,No,Sí,Sí,Sí,Mensual,No,Cheque electrónico,3.46,103.7,5071.05
1843-TLSGD,No,Femenino,No,Sí,Sí,13,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Cheque por correo,0.7,20.85,272.35
1845-CSBRZ,No,Femenino,Sí,Sí,Sí,22,Sí,Sí,Fibra óptica,No,No,No,No,Sí,No,Mensual,No,Transferencia bancaria (automática),2.84,85.35,1961.6
1845-ZLLIG,No,Masculino,No,No,No,1,Sí,No,DSL,No,Sí,No,No,No,No,Mensual,Sí,Cheque por correo,1.67,50.15,50.15
1846-XWOQN,Sí,Femenino,Sí,No,No,1,Sí,No,Fibra óptica,No,No,No,No,No,No,Mensual,Sí,Cheque electrónico,2.34,70.15,70.15
1848-LBZHY,No,Femenino,No,Sí,No,7,Sí,No,DSL,Sí,No,No,No,No,No,Mensual,Sí,Transferencia bancaria (automática),1.68,50.3,355.1
1849-RJYIG,No,Femenino,No,No,No,8,Sí,No,DSL,Sí,No,No,No,Sí,No,Mensual,Sí,Cheque electrónico,2.0,60.0,487.75
1850-AKQEP,No,Masculino,No,No,Sí,8,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Cheque por correo,0.68,20.35,178.7
1852-QSWCD,No,Masculino,No,Sí,Sí,64,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,Sí,Cheque por correo,0.83,24.8,1514.85
1852-XEMDW,No,Masculino,No,No,No,22,Sí,Sí,DSL,Sí,Sí,Sí,No,No,No,Mensual,No,Cheque por correo,2.17,65.05,1427.55
1853-ARAAQ,No,Femenino,No,No,No,26,No,Sin servicio telefónico,DSL,No,No,Sí,No,Sí,Sí,Mensual,Sí,Tarjeta de crédito (automático),1.68,50.35,1277.5
1853-UDXBW,Sí,Masculino,No,Sí,Sí,1,Sí,No,Fibra óptica,No,No,No,No,No,No,Mensual,Sí,Cheque electrónico,2.33,70.0,70.0
1855-AGAWH,No,Masculino,No,Sí,No,31,Sí,No,Fibra óptica,No,No,Sí,No,Sí,Sí,Un año,Sí,Cheque electrónico,3.13,93.8,2939.8
